"forme";"z";"type"
"accumuler";0;7
"accuser";1;7
"acenser";0;7
"acérer";0;7
"acétifier";0;7
"acétyler";0;7
"achalander";0;7
"achaler";0;7
"acharner";0;7
"acheminer";0;7
"acheter";0;7
"achever";0;7
"achopper";0;7
"achromatiser";1;7
"acidifier";0;7
"aciduler";0;7
"aciérer";0;7
"aciseler";1;7
"s'acoquiner";0;7
"acquérir";0;7
"acquiescer";0;7
"acquitter";0;7
"acter";0;7
"actionner";0;7
"activer";0;7
"actualiser";1;7
"acyler";0;7
"adapter";0;7
"additionner";0;7
"adhérer";0;7
"adjectiver";0;7
"adjectiviser";1;7
"adjoindre";0;7
"adjuger";0;7
"adjurer";0;7
"admettre";0;7
"administrer";0;7
"admirer";0;7
"admonester";0;7
"adoniser";1;7
"adonner";0;7
"adopter";0;7
"adorer";0;7
"adosser";0;7
"adouber";0;7
"adoucir";0;7
"adresser";0;7
"adsorber";0;7
"aduler";0;7
"adultérer";0;7
"advenir";0;7
"aérer";0;7
"affabuler";0;7
"affacturer";0;7
"affadir";0;7
"affaiblir";0;7
"s'affairer";0;7
"affaisser";0;7
"affaiter";0;7
"affaler";0;7
"affamer";0;7
"afféager";0;7
"affecter";0;7
"affectionner";0;7
"afférer";0;7
"affermer";0;7
"affermir";0;7
"afficher";0;7
"affiler";0;7
"affilier";0;7
"affiner";0;7
"affirmer";0;7
"affleurer";0;7
"affliger";0;7
"afflouer";0;7
"affluer";0;7
"affoler";0;7
"affouager";0;7
"affouiller";0;7
"affourager";0;7
"affourcher";0;7
"affourrager";0;7
"affranchir";0;7
"affréter";0;7
"affriander";0;7
"affricher";0;7
"affrioler";0;7
"affriter";0;7
"affronter";0;7
"affruiter";0;7
"affubler";0;7
"affurer";0;7
"affûter";0;7
"africaniser";1;7
"agacer";0;7
"agencer";0;7
"s'agenouiller";0;7
"agglomérer";0;7
"agglutiner";0;7
"aggraver";0;7
"agioter";0;7
"agir";0;7
"agiter";0;7
"agneler";0;7
"agonir";0;7
"agoniser";1;7
"agrafer";0;7
"agrandir";0;7
"agréer";0;7
"agréger";0;7
"agrémenter";0;7
"agresser";0;7
"agricher";0;7
"agriffer";0;7
"agripper";0;7
"aguerrir";0;7
"aguicher";0;7
"ahaner";0;7
"ahanner";0;7
"aheurter";0;7
"ahurir";0;7
"aicher";0;7
"aider";0;7
"aigrir";0;7
"aiguiller";0;7
"aiguilleter";0;7
"aiguillonner";0;7
"aiguiser";1;7
"ailler";0;7
"aimanter";0;7
"aimer";0;7
"airer";0;7
"ajointer";0;7
"ajourer";0;7
"ajourner";0;7
"ajouter";0;7
"ajuster";0;7
"alambiquer";0;7
"alanguir";0;7
"alarmer";0;7
"alcaliniser";1;7
"alcaliser";1;7
"alcooliser";1;7
"alentir";0;7
"alerter";0;7
"aléser";1;7
"aleviner";0;7
"aliéner";0;7
"aligner";0;7
"alimenter";0;7
"aliter";0;7
"allaiter";0;7
"allécher";0;7
"alléger";0;7
"allégir";0;7
"allégoriser";1;7
"alléguer";0;7
"aller";0;7
"allier";0;7
"allonger";0;7
"allotir";0;7
"allouer";0;7
"allumer";0;7
"alluvionner";0;7
"alourdir";0;7
"alpaguer";0;7
"alphabétiser";1;7
"altérer";0;7
"alterner";0;7
"aluminer";0;7
"aluner";0;7
"alunir";0;7
"amadouer";0;7
"amaigrir";0;7
"amalgamer";0;7
"amancher";0;7
"amariner";0;7
"amarrer";0;7
"amasser";0;7
"amatir";0;7
"ambitionner";0;7
"ambler";0;7
"ambrer";0;7
"améliorer";0;7
"aménager";0;7
"amender";0;7
"amener";0;7
"amenuiser";1;7
"américaniser";1;7
"amerrir";0;7
"ameublir";0;7
"ameuter";0;7
"amidonner";0;7
"amincir";0;7
"amnistier";0;7
"amocher";0;7
"amodier";0;7
"amoindrir";0;7
"amollir";0;7
"amonceler";0;7
"amorcer";0;7
"amordancer";0;7
"amortir";0;7
"s'amouracher";0;7
"amplifier";0;7
"amputer";0;7
"s'amuïr";0;7
"amurer";0;7
"amuser";1;7
"analgésier";1;7
"analyser";1;7
"anastomoser";1;7
"anathématiser";1;7
"anathémiser";1;7
"anatomiser";1;7
"ancrer";0;7
"anéantir";0;7
"anémier";0;7
"anesthésier";1;7
"anglaiser";1;7
"angliciser";1;7
"angoisser";0;7
"anhéler";0;7
"animaliser";1;7
"animer";0;7
"aniser";1;7
"ankyloser";1;7
"anneler";0;7
"annexer";0;7
"annihiler";0;7
"annoncer";0;7
"annoter";0;7
"annualiser";1;7
"annuler";0;7
"anoblir";0;7
"anodiser";1;7
"ânonner";0;7
"anordir";0;7
"antéposer";1;7
"anticiper";0;7
"antidater";0;7
"anuiter";0;7
"aoûter";0;7
"apaiser";1;7
"apanager";0;7
"apercevoir";0;7
"apeurer";0;7
"apiquer";0;7
"apitoyer";0;7
"aplanir";0;7
"aplatir";0;7
"aponter";0;7
"apostasier";1;7
"aposter";0;7
"apostiller";0;7
"apostropher";0;7
"appairer";0;7
"apparaître";0;7
"appareiller";0;7
"apparenter";0;7
"apparier";0;7
"apparoir";0;7
"appartenir";0;7
"appâter";0;7
"appauvrir";0;7
"appeler";0;7
"appendre";0;7
"appertiser";1;7
"appesantir";1;7
"appéter";0;7
"applaudir";0;7
"appliquer";0;7
"appointer";0;7
"appointir";0;7
"apponter";0;7
"apporter";0;7
"apposer";1;7
"apprécier";0;7
"appréhender";0;7
"apprendre";0;7
"apprêter";0;7
"apprivoiser";1;7
"approcher";0;7
"approfondir";0;7
"approprier";0;7
"approuver";0;7
"approvisionner";1;7
"appuyer";0;7
"apurer";0;7
"arabiser";1;7
"araser";1;7
"arbitrer";0;7
"arborer";0;7
"arboriser";1;7
"arc-bouter";0;7
"archaïser";0;7
"architecturer";0;7
"archiver";0;7
"arçonner";0;7
"ardoiser";1;7
"argenter";0;7
"argotiser";1;7
"arguer";0;7
"argumenter";0;7
"ariser";1;7
"armer";0;7
"armorier";0;7
"arnaquer";0;7
"aromatiser";1;7
"arpéger";0;7
"arpenter";0;7
"arquepincer";0;7
"arquer";0;7
"arracher";0;7
"arraisonner";1;7
"arranger";0;7
"arrenter";0;7
"arrérager";0;7
"arrêter";0;7
"arriérer";0;7
"arrimer";0;7
"arriser";1;7
"arriver";0;7
"s'arroger";0;7
"arrondir";0;7
"arroser";1;7
"arsouiller";0;7
"articuler";0;7
"ascensionner";0;7
"aseptiser";1;7
"aspecter";0;7
"asperger";0;7
"asphalter";0;7
"asphyxier";0;7
"aspirer";0;7
"assagir";0;7
"assaillir";0;7
"assainir";0;7
"assaisonner";1;7
"assarmenter";0;7
"assassiner";0;7
"assavoir";0;7
"assécher";0;7
"assembler";0;7
"asséner";0;7
"assener";0;7
"s'assoir";0;7
"assermenter";0;7
"asservir";0;7
"assibiler";0;7
"assiéger";0;7
"assigner";0;7
"assimiler";0;7
"assister";0;7
"associer";0;7
"assoiffer";0;7
"assoler";0;7
"assombrir";0;7
"assommer";0;7
"assoner";0;7
"assortir";0;7
"assoupir";0;7
"assouplir";0;7
"assourdir";0;7
"assouvir";0;7
"assujettir";0;7
"assumer";0;7
"assurer";0;7
"asticoter";0;7
"astiner";0;7
"astiquer";0;7
"astreindre";0;7
"atermoyer";0;7
"atomiser";1;7
"atriquer";0;7
"atrophier";0;7
"attabler";0;7
"attacher";0;7
"attaquer";0;7
"attarder";0;7
"atteindre";0;7
"atteler";0;7
"attendre";0;7
"attendrir";0;7
"attenter";0;7
"atténuer";0;7
"atterrer";0;7
"atterrir";0;7
"attester";0;7
"attiédir";0;7
"attifer";0;7
"attiger";0;7
"attirer";0;7
"attiser";1;7
"attitrer";0;7
"attraper";0;7
"attribuer";0;7
"attriquer";0;7
"attrister";0;7
"attrouper";0;7
"aubiner";0;7
"auditionner";0;7
"augmenter";0;7
"augurer";0;7
"auner";0;7
"auréoler";0;7
"aurifier";0;7
"ausculter";0;7
"authentifier";0;7
"authentiquer";0;7
"s'autocensurer";0;7
"autodéterminer";0;7
"s'autodétruire";0;7
"s'autofinancer";0;7
"autographier";0;7
"s'autoguider";0;7
"automatiser";1;7
"s'autoproclamer";0;7
"autopsier";0;7
"autoriser";1;7
"s'autosuggestionner";1;7
"autotomiser";1;7
"avachir";0;7
"avaler";0;7
"avaliser";1;7
"avancer";0;7
"avantager";0;7
"avarier";0;7
"avenir";0;7
"aventurer";0;7
"avérer";0;7
"avertir";0;7
"aveugler";0;7
"aveulir";0;7
"avilir";0;7
"aviner";0;7
"aviser";1;7
"avitailler";0;7
"aviver";0;7
"avoir";0;7
"avoisiner";1;7
"avorter";0;7
"avouer";0;7
"avoyer";0;7
"axer";0;7
"axiomatiser";1;7
"azurer";1;7
"babiller";0;7
"babouner";0;7
"bâcher";0;7
"bachoter";0;7
"bâcler";0;7
"badauder";0;7
"badigeonner";0;7
"badiner";0;7
"baffer";0;7
"bafouer";0;7
"bafouiller";0;7
"bâfrer";0;7
"bagarrer";0;7
"bagotter";0;7
"bagouler";0;7
"baguenauder";0;7
"baguer";0;7
"baigner";0;7
"bailler";0;7
"bâiller";0;7
"bâillonner";0;7
"baiser";1;7
"baisoter";1;7
"baisser";0;7
"balader";0;7
"balafrer";0;7
"balancer";0;7
"balanstiquer";0;7
"balayer";0;7
"balbutier";0;7
"baleiner";0;7
"ébavurer";0;7
"éberluer";0;7
"ébiseler";1;7
"éblouir";0;7
"éborgner";0;7
"ébosser";0;7
"ébouer";0;7
"ébouillanter";0;7
"ébouler";0;7
"ébourgeonner";0;7
"ébouriffer";0;7
"ébourrer";0;7
"ébouser";1;7
"ébousiner";1;7
"ébouter";0;7
"ébraiser";1;7
"ébrancher";0;7
"ébranler";0;7
"ébraser";1;7
"ébrécher";0;7
"ébroudir";0;7
"s'ébrouer";0;7
"ébruiter";0;7
"ébruter";0;7
"écabocher";0;7
"écacher";0;7
"écaffer";0;7
"écailler";0;7
"écaler";0;7
"écanguer";0;7
"écarner";0;7
"écarquiller";0;7
"écarteler";0;7
"écarter";0;7
"écartiller";0;7
"écatir";0;7
"échafauder";0;7
"échalasser";0;7
"échampir";0;7
"échancrer";0;7
"échanfreiner";0;7
"échanger";0;7
"échantillonner";0;7
"échapper";0;7
"échardonner";0;7
"écharner";0;7
"écharogner";0;7
"écharper";0;7
"échauder";0;7
"échauffer";0;7
"échauler";0;7
"échaumer";0;7
"échelonner";0;7
"écheniller";0;7
"écher";0;7
"écheveler";0;7
"échiner";0;7
"échoir";0;7
"échopper";0;7
"échouer";0;7
"écimer";0;7
"éclabousser";0;7
"éclaircir";0;7
"éclairer";0;7
"éclater";0;7
"éclipser";0;7
"éclisser";0;7
"écloper";0;7
"éclore";0;7
"écluser";1;7
"écobuer";0;7
"écoeurer";0;7
"éconduire";0;7
"économiser";1;7
"écoper";0;7
"écorcer";0;7
"écorcher";0;7
"écorer";0;7
"écorner";0;7
"écornifler";0;7
"écosser";0;7
"écôter";0;7
"écouler";0;7
"écourter";0;7
"écourticher";0;7
"écouter";0;7
"écouvillonner";0;7
"écrabouiller";0;7
"écrapoutir";0;7
"écraser";1;7
"écréancher";0;7
"écrémer";0;7
"écrêter";0;7
"s'écrier";0;7
"écrire";0;7
"écrivailler";0;7
"écrivasser";0;7
"écrouer";0;7
"écrouir";0;7
"s'écrouler";0;7
"écroûter";0;7
"écuisser";0;7
"éculer";0;7
"écumer";0;7
"écurer";0;7
"écussonner";0;7
"eczématiser";1;7
"édenter";0;7
"édicter";0;7
"édifier";0;7
"éditer";0;7
"éditionner";0;7
"édulcorer";0;7
"éduquer";0;7
"éfaufiler";0;7
"effacer";0;7
"effaner";0;7
"effardocher";0;7
"effarer";0;7
"effaroucher";0;7
"effectuer";0;7
"efféminer";0;7
"effeuiller";0;7
"effigier";0;7
"effiler";0;7
"effillocher";0;7
"effilocher";0;7
"effiloquer";0;7
"efflanquer";0;7
"effleurer";0;7
"effleurir";0;7
"effluver";0;7
"effoirer";0;7
"effondrer";0;7
"s'efforcer";0;7
"effranger";0;7
"effrayer";0;7
"effriter";0;7
"s'égailler";0;7
"égaler";0;7
"égaliser";1;7
"égarer";0;7
"égayer";0;7
"égermer";0;7
"égorger";0;7
"s'égosiller";1;7
"égoutter";0;7
"égrainer";0;7
"égrapper";0;7
"égratigner";0;7
"égravillonner";0;7
"égrener";0;7
"égriser";1;7
"égruger";0;7
"égueuler";0;7
"éjaculer";0;7
"éjarrer";0;7
"éjecter";0;7
"éjointer";0;7
"élaborer";0;7
"élaguer";0;7
"élancer";0;7
"élargir";0;7
"élarglir";0;7
"élaver";0;7
"électrifier";0;7
"électriser";1;7
"électrocuter";0;7
"électrolyser";1;7
"électroniser";1;7
"élégir";0;7
"élever";0;7
"élider";0;7
"élier";0;7
"élimer";0;7
"éliminer";0;7
"élinguer";0;7
"élire";0;7
"éloigner";0;7
"élonger";0;7
"élucider";0;7
"élucubrer";0;7
"éluder";0;7
"éluer";0;7
"émacier";0;7
"émailler";0;7
"émanciper";0;7
"émaner";0;7
"émarger";0;7
"émasculer";0;7
"embabouiner";0;7
"emballer";0;7
"emballotter";0;7
"embarbouiller";0;7
"embarder";0;7
"embarquer";0;7
"embarrasser";0;7
"embarrer";0;7
"embastiller";0;7
"embastionner";0;7
"embâter";0;7
"embatre";0;7
"embattre";0;7
"embaucher";0;7
"embaumer";0;7
"embecquer";0;7
"embéguiner";0;7
"embellir";0;7
"emberlificoter";0;7
"embêter";0;7
"embidonner";0;7
"embieller";0;7
"emblaver";0;7
"embobeliner";0;7
"embobiner";0;7
"emboire";0;7
"emboîter";0;7
"emboquer";0;7
"embosser";0;7
"embotteler";0;7
"emboucaner";0;7
"emboucher";0;7
"embouer";0;7
"embouquer";0;7
"embourber";0;7
"embourgeoiser";1;7
"embourrer";0;7
"embouteiller";0;7
"embouter";0;7
"emboutir";0;7
"embrancher";0;7
"embraquer";0;7
"embraser";1;7
"embrasser";0;7
"embrayer";0;7
"embreler";0;7
"embrever";0;7
"embrigader";0;7
"embringuer";0;7
"embrocher";0;7
"embroncher";0;7
"embrouiller";0;7
"embroussailler";0;7
"embrumer";0;7
"embrunir";0;7
"embuer";0;7
"embusquer";0;7
"émécher";0;7
"émerger";0;7
"émerillonner";0;7
"émeriser";1;7
"émerveiller";0;7
"émettre";0;7
"émier";0;7
"émietier";0;7
"émietter";0;7
"émigrer";0;7
"émincer";0;7
"emmagasiner";1;7
"emmailloter";0;7
"emmalicer";0;7
"emmancher";0;7
"emmarger";0;7
"emmêler";0;7
"emménager";0;7
"emmener";0;7
"emmerder";0;7
"emmétrer";0;7
"emmeuler";0;7
"emmieller";0;7
"emmitonner";0;7
"emmitoufler";0;7
"emmortaiser";1;7
"emmoufler";0;7
"emmouscailler";0;7
"emmurer";0;7
"émonder";0;7
"émorfiler";0;7
"émotionner";0;7
"émotter";0;7
"émoucher";0;7
"émoucheter";0;7
"émoudre";0;7
"émousser";0;7
"émoustiller";0;7
"émouvoir";0;7
"empailler";0;7
"empaler";0;7
"empalmer";0;7
"empanacher";0;7
"empanner";0;7
"empapilloter";0;7
"empaqueter";0;7
"s'emparer";0;7
"emparquer";0;7
"empâter";0;7
"empatter";0;7
"empaumer";0;7
"empêcher";0;7
"empeigner";0;7
"empêner";0;7
"empenner";0;7
"empercher";0;7
"emperler";0;7
"empeser";1;7
"empester";0;7
"empêtrer";0;7
"empiéger";0;7
"empierrer";0;7
"empiéter";0;7
"s'empiffrer";0;7
"empiler";0;7
"empirer";0;7
"emplafonner";0;7
"emplâtrer";0;7
"emplir";0;7
"employer";0;7
"emplumer";0;7
"empocher";0;7
"empoigner";0;7
"empoisonner";1;7
"empoisser";0;7
"empoissonner";0;7
"emporter";0;7
"empoter";0;7
"empourprer";0;7
"empoussiérer";0;7
"empreindre";0;7
"s'empresser";0;7
"emprésurer";0;7
"emprisonner";1;7
"emprunter";0;7
"empuantir";0;7
"émuler";0;7
"émulsifier";0;7
"émulsionner";0;7
"s'enamourer";0;7
"s'énamourer";0;7
"enarbrer";0;7
"encabaner";0;7
"encadrer";0;7
"encager";0;7
"encagouler";0;7
"encaisser";0;7
"s'encanailler";0;7
"encanter";0;7
"encapsuler";0;7
"encapuchonner";0;7
"encaquer";0;7
"encarcaner";0;7
"encarter";0;7
"encartonner";0;7
"encartoucher";0;7
"encaserner";1;7
"encasteler";0;7
"encaster";0;7
"encastrer";0;7
"encaustiquer";0;7
"encaver";0;7
"enceindre";0;7
"encelluler";0;7
"encenser";0;7
"encercler";0;7
"enchaîner";0;7
"enchanter";0;7
"enchaperonner";0;7
"encharner";0;7
"enchâsser";0;7
"enchatonner";0;7
"enchaussener";0;7
"enchausser";0;7
"enchaussumer";0;7
"enchemiser";1;7
"enchérir";0;7
"enchevaler";0;7
"enchevaucher";0;7
"enchevêtrer";0;7
"enchifrener";0;7
"encirer";0;7
"enclaver";0;7
"enclencher";0;7
"encliqueter";0;7
"encloîtrer";0;7
"enclore";0;7
"enclouer";0;7
"encocher";0;7
"encocier";0;7
"encoder";0;7
"encoffrer";0;7
"encoller";0;7
"encombrer";0;7
"s'encorder";0;7
"encorner";0;7
"encoubler";0;7
"encourager";0;7
"encourir";0;7
"encrasser";0;7
"encrêper";0;7
"encrer";0;7
"encroiser";1;7
"encroûter";0;7
"enculer";0;7
"encuver";0;7
"endauber";0;7
"endenter";0;7
"endetter";0;7
"endeuiller";0;7
"endêver";0;7
"endiabler";0;7
"endiguer";0;7
"s'endimancher";0;7
"endisquer";0;7
"endivisionner";1;7
"endoctriner";0;7
"endolorir";0;7
"endommager";0;7
"endormir";0;7
"endosser";0;7
"enduire";0;7
"endurcir";0;7
"endurer";0;7
"énerver";0;7
"enfaîter";0;7
"enfanter";0;7
"enfarger";0;7
"enfariner";0;7
"enfermer";0;7
"enferrer";0;7
"enficher";0;7
"enfieller";0;7
"enfiévrer";0;7
"enfiler";0;7
"enfirouaper";0;7
"enflammer";0;7
"enflécher";0;7
"enfler";0;7
"enfleurer";0;7
"enfoncer";0;7
"enforcir";0;7
"enfouir";0;7
"enfourcher";0;7
"enfourner";0;7
"enfreindre";0;7
"s'enfuir";0;7
"enfumer";0;7
"enfutailler";0;7
"enfûter";0;7
"engager";0;7
"engainer";0;7
"engaller";0;7
"engamer";0;7
"engargousser";0;7
"engaver";0;7
"engazonner";1;7
"engendrer";0;7
"engerber";0;7
"englacer";0;7
"englober";0;7
"engloutir";0;7
"engluer";0;7
"engober";0;7
"engommer";0;7
"engoncer";0;7
"engorger";0;7
"s'engouer";0;7
"engouffrer";0;7
"engouler";0;7
"engourdir";0;7
"engraisser";0;7
"engranger";0;7
"engraver";0;7
"engrener";0;7
"engrosser";0;7
"engrumeler";0;7
"engueuler";0;7
"enguirlander";0;7
"marabouter";0;7
"marauder";0;7
"marbrer";0;7
"marchander";0;7
"marcher";0;7
"marcotter";0;7
"margauder";0;7
"marger";0;7
"marginaliser";1;7
"marginer";0;7
"margoter";0;7
"margotter";0;7
"marier";0;7
"mariner";0;7
"marivauder";0;7
"marmiter";0;7
"marmonner";0;7
"marmoriser";1;7
"marmotter";0;7
"marner";0;7
"maronner";0;7
"maroquiner";0;7
"marotiser";1;7
"maroufler";0;7
"marquer";0;7
"marqueter";0;7
"se marrer";0;7
"marronner";0;7
"marsouiner";0;7
"marsupialiser";1;7
"marteler";0;7
"martiner";0;7
"martyriser";1;7
"marxiser";1;7
"masculiniser";1;7
"masquer";0;7
"massacrer";0;7
"masser";0;7
"massicoter";0;7
"massifier";0;7
"mastiquer";0;7
"masturber";0;7
"matcher";0;7
"matelasser";0;7
"mater";0;7
"mâter";0;7
"matérialiser";1;7
"materner";0;7
"materniser";1;7
"mathématiser";1;7
"mâtiner";0;7
"matir";0;7
"matraquer";0;7
"matricer";0;7
"matriculer";0;7
"maturer";0;7
"maudire";0;7
"maugréer";0;7
"maximaliser";1;7
"maximiser";1;7
"mazer";1;7
"mazouter";1;7
"mécaniser";1;7
"mécher";0;7
"mécompter";0;7
"se méconduire";0;7
"méconnaître";0;7
"mécontenter";0;7
"mécroire";0;7
"médailler";0;7
"médiatiser";1;7
"médicaliser";1;7
"médicamenter";0;7
"médire";0;7
"médiser";1;7
"méditer";0;7
"méduser";1;7
"méfaire";0;7
"se méfier";0;7
"mégir";0;7
"mégisser";0;7
"mégoter";0;7
"méjuger";0;7
"mélanger";0;7
"mêler";0;7
"mémoriser";1;7
"menacer";0;7
"ménager";0;7
"mendier";0;7
"mendigoter";0;7
"mener";0;7
"menotter";0;7
"mensualiser";1;7
"mensurer";0;7
"mentionner";0;7
"mentir";0;7
"menuiser";1;7
"se méprendre";0;7
"mépriser";1;7
"mercantiliser";1;7
"merceriser";1;7
"merder";0;7
"merdoyer";0;7
"meringuer";0;7
"mériter";0;7
"se mésallier";1;7
"mésestimer";1;7
"mesquiner";0;7
"messoir";0;7
"mesurer";1;7
"mésuser";1;7
"métaboliser";1;7
"métalliser";1;7
"métamorphiser";1;7
"métamorphoser";1;7
"météoriser";1;7
"métisser";0;7
"métrer";0;7
"mettre";0;7
"meubler";0;7
"meugler";0;7
"meuler";0;7
"meurtrir";0;7
"mévendre";0;7
"miauler";0;7
"michetonner";0;7
"micro-injecter";0;7
"microcopier";0;7
"microfilmer";0;7
"microniser";1;7
"mignarder";0;7
"mignoter";0;7
"migrer";0;7
"mijoter";0;7
"militariser";1;7
"militer";0;7
"millésimer";1;7
"mimer";0;7
"minauder";0;7
"mincir";0;7
"miner";0;7
"minéraliser";1;7
"miniaturer";0;7
"miniaturiser";1;7
"minimiser";1;7
"minorer";0;7
"minoucher";0;7
"minuter";0;7
"mirer";0;7
"miroiter";0;7
"miser";1;7
"missionner";0;7
"se miter";0;7
"mithridatiser";1;7
"mitiger";0;7
"mitonner";0;7
"mitrailler";0;7
"mixer";0;7
"mixtionner";0;7
"mobiliser";1;7
"modeler";0;7
"modéliser";1;7
"modérer";0;7
"moderniser";1;7
"modifier";0;7
"moduler";0;7
"moirer";0;7
"moiser";1;7
"moisir";1;7
"moissonner";0;7
"moiter";0;7
"moitir";0;7
"molester";0;7
"moleter";0;7
"mollarder";0;7
"molletonner";0;7
"mollir";0;7
"momifier";0;7
"monder";0;7
"mondialiser";1;7
"monétiser";1;7
"monnayer";0;7
"monologuer";0;7
"monopoliser";1;7
"monter";0;7
"montrer";0;7
"moquer";0;7
"moquetter";0;7
"moraliser";1;7
"morceler";0;7
"mordancer";0;7
"mordiller";0;7
"mordorer";0;7
"mordre";0;7
"morfaler";0;7
"morfier";0;7
"morfiler";0;7
"morfler";0;7
"se morfondre";0;7
"morganer";0;7
"morguer";0;7
"morigéner";0;7
"mortaiser";1;7
"mortifier";0;7
"motionner";0;7
"motiver";0;7
"motonner";0;7
"motoriser";1;7
"se motter";0;7
"moucharder";0;7
"moucher";0;7
"moucheronner";0;7
"moucheter";0;7
"moudre";0;7
"mouetter";0;7
"moufeter";0;7
"moufter";0;7
"mouillasser";0;7
"mouiller";0;7
"mouler";0;7
"mouliner";0;7
"moulurer";0;7
"mourir";0;7
"mouronner";0;7
"mousser";0;7
"moutonner";0;7
"mouvementer";0;7
"mouver";0;7
"mouvoir";0;7
"moyenner";0;7
"mucher";0;7
"muer";0;7
"mugir";0;7
"mugueter";0;7
"muloter";0;7
"multipler";0;7
"multiplexer";0;7
"multiplier";0;7
"municipaliser";1;7
"munir";0;7
"munitionner";0;7
"murailler";0;7
"murer";0;7
"mûrir";0;7
"murmurer";0;7
"musarder";1;7
"muscler";0;7
"museler";1;7
"muser";1;7
"musiquer";1;7
"musquer";0;7
"musser";0;7
"muter";0;7
"mutiler";0;7
"se mutiner";0;7
"mutualiser";1;7
"mystifier";0;7
"mythifier";0;7
"nacrer";0;7
"nager";0;7
"naître";0;7
"nanifier";0;7
"nantir";0;7
"napper";0;7
"narguer";0;7
"narrer";0;7
"nasaliser";1;7
"nasiller";1;7
"nationaliser";1;7
"natter";0;7
"naturaliser";1;7
"naufrager";0;7
"naviguer";0;7
"navrer";0;7
"néantiser";1;7
"nébuliser";1;7
"nécessiter";0;7
"nécroser";1;7
"négliger";0;7
"négocier";0;7
"neigeoter";0;7
"neiger";0;7
"néologiser";1;7
"nervurer";0;7
"nettoyer";0;7
"neutraliser";1;7
"niaiser";1;7
"nicher";0;7
"nickeler";0;7
"nicotiniser";1;7
"nidifier";0;7
"nieller";0;7
"nier";0;7
"nigauder";0;7
"nimber";0;7
"nipper";0;7
"niquer";0;7
"nitrater";0;7
"nitrer";0;7
"nitrifier";0;7
"nitrurer";0;7
"niveler";0;7
"noircir";0;7
"noliser";1;7
"nomadiser";1;7
"nombrer";0;7
"nominaliser";1;7
"nommer";0;7
"nonupler";0;7
"noper";0;7
"nordir";0;7
"normaliser";1;7
"notarier";0;7
"noter";0;7
"notifier";0;7
"nouer";0;7
"nourrir";0;7
"noveliser";1;7
"novelliser";1;7
"nover";0;7
"noyauter";0;7
"noyer";0;7
"nuancer";0;7
"nucléariser";1;7
"nucléer";0;7
"nuer";0;7
"nuire";0;7
"numériser";1;7
"numéroter";0;7
"obéir";0;7
"obérer";0;7
"objecter";0;7
"objectiver";0;7
"objurguer";0;7
"obliger";0;7
"obliquer";0;7
"oblitérer";0;7
"obnubiler";0;7
"obombrer";0;7
"obscurcir";0;7
"obséder";0;7
"observer";0;7
"s'obstiner";0;7
"obstruer";0;7
"obtempérer";0;7
"obtenir";0;7
"obturer";0;7
"obvenir";0;7
"obvier";0;7
"occasionner";1;7
"occidentaliser";1;7
"occire";0;7
"occlure";0;7
"occulter";0;7
"occuper";0;7
"ocrer";0;7
"octavier";0;7
"octroyer";0;7
"octupler";0;7
"oeilletonner";0;7
"oeuvrer";0;7
"offenser";0;7
"officialiser";1;7
"officier";0;7
"offrir";0;7
"offusquer";0;7
"oiseler";1;7
"ombrager";0;7
"ombrer";0;7
"omettre";0;7
"opacifier";0;7
"opaliser";1;7
"opérer";0;7
"opiacer";0;7
"opiner";0;7
"s'opiniâtrer";0;7
"opposer";1;7
"oppresser";0;7
"opprimer";0;7
"opter";0;7
"optimaliser";1;7
"optimiser";1;7
"oraliser";1;7
"oranger";0;7
"orbiter";0;7
"orchestrer";0;7
"ordonnancer";0;7
"ordonner";0;7
"organiser";1;7
"organsiner";0;7
"orientaliser";1;7
"orienter";0;7
"oringuer";0;7
"ornementer";0;7
"orner";0;7
"orthographier";0;7
"osciller";0;7
"oser";1;7
"ossifier";0;7
"ostiner";0;7
"ostraciser";1;7
"ôter";0;7
"ouater";0;7
"ouatiner";0;7
"oublier";0;7
"ouiller";0;7
"ouïr";0;7
"ourdir";0;7
"ourler";0;7
"outer";0;7
"outiller";0;7
"outrager";0;7
"outrepasser";0;7
"outrer";0;7
"ouvrager";0;7
"ouvrer";0;7
"ouvrir";0;7
"ovaliser";1;7
"ovationner";0;7
"ovuler";0;7
"oxyder";0;7
"oxygéner";0;7
"ozoniser";1;7
"pacager";0;7
"pacemaquer";0;7
"pacifier";0;7
"pacquer";0;7
"pactiser";1;7
"padoquer";0;7
"paganiser";1;7
"pagayer";0;7
"pageoter";0;7
"pager";0;7
"paginer";0;7
"se pagnoter";0;7
"paillarder";0;7
"paillassonner";0;7
"pailler";0;7
"pailleter";0;7
"paillonner";0;7
"paisseler";0;7
"paître";0;7
"pajoter";0;7
"palabrer";0;7
"palancrer";0;7
"palangrer";0;7
"palanguer";0;7
"palanquer";0;7
"palataliser";1;7
"paletter";0;7
"palettiser";1;7
"pâlir";0;7
"palissader";0;7
"palisser";0;7
"palissonner";0;7
"pallier";0;7
"palmer";0;7
"paloter";0;7
"palper";0;7
"palpiter";0;7
"se pâmer";0;7
"panacher";0;7
"paner";0;7
"panifier";0;7
"paniquer";0;7
"panneauter";0;7
"panner";0;7
"panoramiquer";0;7
"panosser";0;7
"panser";0;7
"panteler";0;7
"pantoufler";0;7
